docID, likelihood 
554, -899.2219250338 
555, -855.8329064085 
556, -956.1306604823 
557, -677.5680321895 
558, -716.6257266255 
559, -552.6213391839 
560, -854.4362925413 
561, -696.3352128925 
562, -749.2189029750 
563, -667.9355056062 
564, -881.2660427063 
565, -819.6990820754 
566, -796.6721469255 
567, -953.1979357904 
568, -700.3216274668 
569, -839.0446182869 
570, -804.9260767443 
571, -780.4677733992 
572, -981.7606070765 
573, -1074.4450520460 
574, -942.9755384547 
575, -616.6892503418 
576, -471.4336056158 
577, -1021.0236806488 
578, -670.4919801470 
579, -785.0824183289 
580, -948.5436601851 
581, -874.4530992920 
582, -662.0805506262 
583, -867.3051163951 
584, -588.2361822859 
585, -724.5174933846 
586, -873.2736898810 
587, -588.3349485294 
588, -581.0639058696 
589, -668.4647353272 
590, -728.2182303686 
591, -682.3459349954 
592, -930.5750773974 
593, -828.9309426887 
594, -601.4015702839 
595, -710.4430110043 
596, -907.2209574326 
597, -521.5005991502 
598, -773.3984171179 
599, -915.1765104292 
600, -800.6511850836 
601, -786.4213787727 
602, -577.7691229273 
603, -655.9140758210 
604, -640.9577937246 
605, -555.5017982301 
606, -657.4215905667 
607, -619.5358625292 
608, -776.8662209194 
609, -673.0923841666 
610, -619.7778984102 
611, -556.8239262713 
612, -548.7407873530 
613, -645.9534832002 
614, -628.6473329864 
615, -550.9625373342 
616, -482.9363539827 
617, -683.2810706309 
618, -783.1962495677 
619, -688.0570760320 
620, -681.6969456335 
621, -833.3470903315 
622, -566.5044152301 
623, -1322.8837229478 
624, -613.8949518525 
625, -1249.3810756778 
626, -674.6169015757 
627, -631.6155784485 
628, -813.2846440642 
629, -866.1658187906 
630, -747.6850205967 
631, -817.2334253877 
632, -639.6396667097 
633, -964.6944086639 
634, -730.8398145872 
635, -1184.8169914127 
636, -699.6441581727 
637, -992.4035516558 
638, -714.7367694990 
639, -709.9687882048 
640, -634.7044473941 
641, -560.4078491233 
642, -772.8316606724 
643, -833.4538924636 
644, -772.4836407506 
645, -857.0109265439 
646, -537.3534029704 
647, -610.2160530369 
648, -707.3529319896 
649, -1017.4261460133 
650, -920.4649222157 
651, -898.9964192195 
652, -662.7355693562 
653, -808.7138098044 
654, -439.3003003058 
655, -707.7844243379 
656, -955.4485520502 
657, -774.2004524648 
658, -600.5908369305 
659, -630.2625633348 
660, -925.9649087305 
661, -891.2371299045 
662, -753.3446625479 
663, -580.7255325675 
664, -695.9336526885 
665, -539.5285189704 
666, -571.6947715637 
667, -589.9954407941 
668, -701.0866082666 
669, -606.1878692075 
670, -737.6943398749 
671, -619.7029633115 
672, -846.4867049386 
673, -776.1813427235 
674, -565.0599510152 
675, -686.7317401345 
676, -499.8873525744 
677, -764.8865922527 
678, -958.1394077417 
679, -631.2190420313 
680, -658.8227792618 
681, -389.5310915923 
682, -772.2540810179 
683, -837.2678002464 
684, -882.1648681260 
685, -523.0660404520 
686, -419.2628306158 
687, -891.3683950988 
688, -1135.7903115817 
689, -1107.5607274615 
690, -723.1428173063 
691, -807.4997360157 
692, -591.4385629692 
693, -614.7420571575 
694, -763.2509273727 
695, -587.2207933353 
696, -1216.4105307960 
697, -805.4802990714 
698, -818.1461808251 
699, -812.9424276444 
700, -853.3453445764 
701, -897.5022122905 
702, -809.3136149581 
703, -1067.7675363291 
704, -1299.8115560355 
705, -781.8631766110 
706, -666.0510715076 
707, -923.6095214118 
708, -569.1781542475 
709, -784.0025458835 
710, -826.4667197727 
711, -863.0612434331 
712, -807.5144034173 
713, -768.0874804536 
714, -787.2968724737 
715, -744.0220220522 
716, -899.5676990927 
717, -630.6321617543 
718, -538.3550885365 
719, -529.6542295328 
720, -695.9029316601 
721, -445.2792086250 
722, -894.6866385067 
723, -657.2769726174 
724, -623.6186173788 
725, -757.9773284700 
726, -991.2588239134 
727, -961.5820239075 
728, -639.7611956814 
729, -779.3381624071 
730, -534.2201870652 
731, -997.1664596883 
732, -917.4550252023 
733, -848.3081597297 
734, -737.1914265164 
735, -894.3813880754 
736, -888.2996980815 
737, -687.1122074905 
738, -750.4090485109 
739, -1080.7240615779 
740, -1128.6474516449 
741, -1080.1599288862 
742, -784.2610626730 
743, -1277.0839261704 
744, -831.9154731817 
745, -1000.1380181125 
746, -690.2400989874 
747, -857.0458663844 
748, -721.9691202318 
749, -649.4735234023 
750, -588.5451154027 
751, -761.3392910215 
752, -641.8868109579 
753, -695.9948444100 
754, -851.9817055267 
