0 0 0 0 0 0 0 0.0038328208 0 0 0 0 0 0 0 0 0.8940455791 0 0 0 0 0 0 0 0 0 0 0 0 0.0876450285 0 0 0 0.0144765715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0.4858626970 0.0707875716 0 0 0 0 0 0 0 0 0.0122454231 0.0321937011 0 0 0 0 0 0 0 0 0 0.2721890208 0 0.0011233594 0.0010591870 0 0 0 0 0 0 0.0963162915 0 0 0 0 0 0.0069320594 0.0212906891 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999999876 0 0 0 0 0 0 0 0 0.0000000124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0.0016343559 0.0054931641 0 0 0 0 0 0 0 0 0.0355614777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1166485741 0 0 0 0.7416060422 0 0 0 0 0 0 0 0 0 0.0990563860 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9686239177 0 0 0 0 0 0 0 0 0.0313760823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0404952568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0133560638 0 0 0.9461486794 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0000000000 0 0 0 0 0 0 0 0 0 0 
0 0.4509914417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0125799323 0 0 0 0 0 0 0 0 0 0 0 0.1892548588 0 0 0 0 0 0 0 0 0 0 0 0 0.3471737672 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0.1565022746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0065746571 0 0 0 0 0 0 0 0 0 0 0.2496634035 0 0 0 0 0 0.5775947521 0 0 0 0 0 0 0 0 0.0096649127 0 
0 0 0.0392142684 0 0 0 0 0 0 0 0 0 0 0.0091128216 0 0.1005805972 0.0208162360 0 0 0 0 0 0.0297987151 0 0 0 0 0.0010047645 0 0 0 0 0 0 0 0 0 0 0 0.3564218522 0 0 0 0 0 0.3714964151 0 0 0 0.0715543297 
0 0 0 0 0 0 0 0 0 0 0 0 0.0098514369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9901485631 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1230126652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4617152870 0 0 0 0 0 0.0857231079 0 0 0 0.3295489399 
0 0 0 0 0 0 0.0090928730 0 0 0 0 0 0 0.0006626295 0 0.1539246463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0009054932 0 0.0003193042 0 0 0.0107734037 0 0 0 0 0 0 0.0706003255 0 0 0.7537213247 
0 0 0.1244496921 0 0 0 0 0 0 0 0 0 0.0008503161 0 0 0 0.0175288218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0006847618 0 0 0 0 0.8531894086 0 0 0 0 0 0.0032969995 0 0 0 0 
0 0 0.0105361135 0 0 0.9894638865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0.0331955475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9668044525 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0.0004682541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9415140022 0 0 0 0 0 0 0 0 0.0580177437 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0058562840 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0461152164 0 0 0.1358292530 0 0 0.0182024133 0 0.6915128506 0 0 0 0 0 0 0 0.0988285125 0 0.0036554702 
0 0 0 0 0 0 0 0 0 0 0 0 0 0.1196767773 0 0 0 0 0.8731608786 0 0.0042238149 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0029385291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0.0017053227 0 0 0 0 0 0 0 0 0.6667696629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0019355134 0 0 0.0006713867 0 0.3289181144 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0.0122247840 0 0 0 0 0.0030343779 0 0 0 0.0532685584 0 0 0 0 0 0 0 0 0.0362803131 0 0 0 0 0 0.0133135034 0 0 0.0102523876 0 0 0 0.0054676128 0.8500759276 0 0 0 0 0.0160825352 0 0 0 0 0 
0 0 0 0 0 0 0.0009613534 0.0242121794 0 0 0 0 0 0 0 0 0.1476223999 0 0 0 0 0 0.0017410262 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0042826464 0 0 0.8172867393 0 0 0 0 0 0 0 0 0 0.0038936554 
0 0 0 0 0 0 0 0 0 0 0.0017299242 0 0 0.9762296351 0 0.0220404407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0.0200410618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0013556446 0 0 0 0 0 0.9786032935 0 0 0 0 0 0 0 0 0 0 
0 0 0.1661319866 0 0 0 0.0026992336 0 0 0 0 0 0 0 0 0 0.1992502002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2313710724 0 0 0 0.4005475072 0 0 0 0 0 0 0 0 0 0 
